DateTime	RunTime	ID	Tag	Y	Alg	NumInstances	FeatureNum	CVfold	CV_rep	MSE_val	MSE_val_sd	MSE_val_se	EVS_val	EVS_val_sd	EVS_val_se	r2_val	r2_val_sd	r2_val_se	PCC_val	PCC_val_sd	PCC_val_se	MSE_test	MSE_test_sd	MSE_test_se	EVS_test	EVS_test_sd	EVS_test_se	r2_test	r2_test_sd	r2_test_se	PCC_test	PCC_test_sd	PCC_test_se
2020-06-18 16:06:52	68.43821907043457	/Users/SLotreck/GitHub/yeast-interpretability/interpretation/auto-mpg.csv_RF		mpg	RF	352	7	5	1	10.676370386457549	0.0	0.0	0.830380086322558	0.0	0.0	0.8288564087296817	0.0	0.0	0.9114716687452988	0.0	0.0	7.883663739669416	0.0	0.0	0.831397415928445	0.0	0.0	0.830435506399388	0.0	0.0	0.9279590848940018	0.0	0.0
2020-06-18 16:15:22	82.4591429233551	/Users/SLotreck/GitHub/yeast-interpretability/interpretation/auto-mpg.csv_RF		mpg	RF	352	7	5	1	11.040928994809201	0.0	0.0	0.8242371818207455	0.0	0.0	0.8230124873216205	0.0	0.0	0.9079285594691126	0.0	0.0	7.648678240740738	0.0	0.0	0.835932387206167	0.0	0.0	0.8354896536138149	0.0	0.0	0.9293240029729091	0.0	0.0
2020-06-18 16:20:25	52.72109508514404	/Users/SLotreck/GitHub/yeast-interpretability/interpretation/auto-mpg.csv_RF		mpg	RF	352	7	5	1	11.040928994809201	0.0	0.0	0.8242371818207455	0.0	0.0	0.8230124873216205	0.0	0.0	0.9079285594691126	0.0	0.0	7.648678240740738	0.0	0.0	0.835932387206167	0.0	0.0	0.8354896536138149	0.0	0.0	0.9293240029729091	0.0	0.0
2020-06-18 16:26:24	65.0224838256836	/Users/SLotreck/GitHub/yeast-interpretability/interpretation/auto-mpg.csv_RF		mpg	RF	352	7	5	1	10.561793176775147	0.0	0.0	0.8316931409125401	0.0	0.0	0.8306930961461891	0.0	0.0	0.9121110667814349	0.0	0.0	7.291433062130179	0.0	0.0	0.8434926255883867	0.0	0.0	0.8431734031752719	0.0	0.0	0.9296629678445999	0.0	0.0
2020-06-19 11:00:20	76.61341905593872	/Users/SLotreck/GitHub/yeast-interpretability/interpretation/auto-mpg.csv_RF		mpg	RF	352	7	5	1	10.582023975699906	0.0	0.0	0.8311263968025316	0.0	0.0	0.8303687938358606	0.0	0.0	0.9117687204668564	0.0	0.0	7.559718641868509	0.0	0.0	0.8377563104613112	0.0	0.0	0.8374030266129422	0.0	0.0	0.9267650868727764	0.0	0.0
2020-06-19 11:25:03	81.36046886444092	/Users/SLotreck/GitHub/yeast-interpretability/interpretation/auto-mpg.csv_RF		mpg	RF	352	7	5	1	10.66927315340909	0.0	0.0	0.8301358255325837	0.0	0.0	0.8289701782888136	0.0	0.0	0.9111965483526012	0.0	0.0	7.874730624999998	0.0	0.0	0.831378762681853	0.0	0.0	0.8306276428368636	0.0	0.0	0.9284704340171498	0.0	0.0
2020-06-19 11:27:13	59.992323875427246	/Users/SLotreck/GitHub/yeast-interpretability/interpretation/auto-mpg.csv_RF		mpg	RF	352	7	5	1	10.70982653806496	0.0	0.0	0.8295688052764638	0.0	0.0	0.8283201023138385	0.0	0.0	0.9109524995917384	0.0	0.0	7.723778355387518	0.0	0.0	0.8347151825506453	0.0	0.0	0.8338743750669444	0.0	0.0	0.9289400431048854	0.0	0.0
2020-06-19 14:09:46	48.12947487831116	/Users/SLotreck/GitHub/yeast-interpretability/interpretation/auto-mpg.csv_RF		mpg	RF	352	7	5	1	10.582023975699906	0.0	0.0	0.8311263968025316	0.0	0.0	0.8303687938358606	0.0	0.0	0.9117687204668564	0.0	0.0	7.559718641868509	0.0	0.0	0.8377563104613112	0.0	0.0	0.8374030266129422	0.0	0.0	0.9267650868727764	0.0	0.0
2020-06-19 14:12:43	54.11815404891968	/Users/SLotreck/GitHub/yeast-interpretability/interpretation/auto-mpg.csv_RF		mpg	RF	352	7	5	1	10.343531942618332	0.0	0.0	0.8350128125298444	0.0	0.0	0.8341918518184418	0.0	0.0	0.9140766680762341	0.0	0.0	7.919235537190081	0.0	0.0	0.829936071935325	0.0	0.0	0.8296704162037338	0.0	0.0	0.927734754859155	0.0	0.0
2020-06-19 14:14:33	45.23576283454895	/Users/SLotreck/GitHub/yeast-interpretability/interpretation/auto-mpg.csv_RF		mpg	RF	352	7	5	1	10.854297735136832	0.0	0.0	0.8276182429693686	0.0	0.0	0.8260042104323273	0.0	0.0	0.9098235754712384	0.0	0.0	6.890060553633221	0.0	0.0	0.8521313466636	0.0	0.0	0.8518062582025651	0.0	0.0	0.9336917792070671	0.0	0.0
